i,C,T,E,p
0,2000,1600,50,1
1,1840,1460,53,0.999
2,1680,1340,56,0.998
3,1560,1230,59,0.997
4,1300,1050,62,0.996
5,1220,980,65,0.994
6,1150,910,68,0.991
7,1080,840,71,0.988
8,900,710,75,0.985
9,840,650,78,0.983
10,780,600,81,0.98
11,730,550,84,0.975
12,600,480,87,0.97
13,560,430,90,0.965
14,520,390,93,0.96
15,480,360,96,0.955
16,440,330,100,0.95
17,420,310,103,0.945
18,400,290,106,0.94
19,380,270,109,0.935
20,360,255,112,0.93
21,345,240,115,0.925
22,330,225,118,0.919
23,315,210,121,0.91
24,300,200,125,0.9
25,290,190,129,0.89
26,280,180,133,0.88
27,265,170,137,0.865
28,250,160,141,0.85
29,240,150,145,0.82
30,230,145,150,0.79
31,220,140,155,0.76
32,210,135,160,0.73
33,200,130,167,0.66
34,190,120,175,0.59
35,180,115,182,0.51
36,170,110,190,0.43
37,160,105,205,0.3
38,150,95,220,0.2
39,140,87,235,0.1
40,130,80,250,0
