step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,13.055573419206832,0,0.0,0.9300377799325745,0,0.0,False,,
10.0,0,0.0,0.0,12.296864405746922,0,0.0,0.8710974028162636,0,0.0,False,,
15.0,5,10.0,0.5555555555555556,6.848173768540677,5,10.0,0.4088269183894784,5,10.0,False,,
20.0,4,25.0,1.4705882352941178,7.413232803045587,4,30.0,0.47226918538335677,4,30.0,False,,
25.0,4,45.0,1.9565217391304348,7.848864097536529,4,45.0,0.4118703443075243,4,45.0,False,,
30.0,6,75.0,3.75,7.497394413995075,6,77.0,0.4188889639138941,6,77.0,False,,
35.0,6,105.0,5.25,8.343221829397327,6,105.0,0.37027700208802267,6,105.0,False,,
40.0,6,89.0,3.423076923076923,9.51826543258073,6,89.0,0.559040128269748,6,89.0,False,,
45.0,6,119.0,5.173913043478261,6.902099851425529,6,119.0,0.44150434760032053,6,119.0,False,,
50.0,8,154.0,6.416666666666667,4.979557480924455,8,156.0,0.3114172434258361,8,156.0,False,,
55.0,12,208.0,8.0,6.471981842858138,12,208.0,0.3769699002390856,12,208.0,False,,
60.0,9,62.0,2.3846153846153846,5.7900457802013126,9,172.0,0.24973551079441972,9,172.0,False,,
65.0,6,64.0,2.2857142857142856,7.599317163453405,6,93.0,0.4159868616639839,6,93.0,False,,
70.0,8,80.0,2.962962962962963,6.7099723013165145,8,115.0,0.29437874100016265,8,115.0,False,,
75.0,10,127.0,3.735294117647059,8.15908850825919,10,156.0,0.476706427173806,10,156.0,False,,
80.0,9,70.0,2.1875,8.188995017367272,9,149.0,0.4890732716504375,9,149.0,False,,
85.0,11,117.0,3.5454545454545454,7.087745433902794,11,146.0,0.37761214738633847,11,146.0,False,,
90.0,11,66.0,2.129032258064516,6.246150965682269,11,143.0,0.28519060947793323,11,143.0,False,,
95.0,11,105.0,3.5,6.149617572067626,11,117.0,0.28458412936758787,11,117.0,False,,
