step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.33345959802782,0,0.0,0.9207019222640178,0,0.0,False,,
10.0,0,0.0,0.0,12.518525953213192,0,0.0,0.9346618041636555,0,0.0,False,,
15.0,1,1.0,0.05555555555555555,7.598193158241226,1,1.0,0.4381747144534108,1,1.0,False,,
20.0,8,37.0,2.0555555555555554,7.416420030790093,8,37.0,0.40918953942059133,8,37.0,False,,
25.0,8,59.0,2.8095238095238093,5.13217470042873,8,59.0,0.32567249153510147,8,59.0,False,,
30.0,8,99.0,4.714285714285714,7.531513105086338,8,99.0,0.3974289845911963,8,99.0,False,,
35.0,5,62.0,2.5833333333333335,7.1661044409354275,5,95.0,0.37320244179790285,5,95.0,False,,
40.0,10,104.0,4.0,7.587313511057274,10,104.0,0.45453392219336297,10,104.0,False,,
45.0,6,41.0,1.4642857142857142,6.701129096137687,6,93.0,0.42604156424196177,6,93.0,False,,
50.0,9,81.0,3.0,7.053579367157328,9,81.0,0.3999658226878072,9,81.0,False,,
55.0,8,37.0,1.2333333333333334,6.402271508590491,8,91.0,0.30020256704112663,8,91.0,False,,
60.0,4,35.0,1.2962962962962963,8.098843466374943,4,60.0,0.39902292129003897,4,60.0,False,,
65.0,6,62.0,2.2142857142857144,7.191161281497444,6,68.0,0.3646803444593141,6,68.0,False,,
70.0,14,114.0,4.75,5.213031355637774,14,120.0,0.27258044574459106,14,120.0,False,,
75.0,14,159.0,4.96875,5.040290622516411,14,165.0,0.38064973232548466,14,165.0,False,,
80.0,16,238.0,7.4375,6.029429713493039,16,244.0,0.3890855039327534,16,244.0,False,,
85.0,13,211.0,5.552631578947368,4.860140538439824,13,276.0,0.27558257753537396,13,276.0,False,,
90.0,12,187.0,5.5,4.6200101179333615,12,281.0,0.2217828410064031,12,281.0,False,,
95.0,10,58.0,1.5263157894736843,4.923560801865739,10,252.0,0.23964404055277716,10,252.0,False,,
100.0,15,100.0,2.7777777777777777,5.112407026583203,15,210.0,0.23392579258870125,15,210.0,False,,
105.0,15,131.0,3.4473684210526314,4.9702419047339434,15,227.0,0.21543421102818264,15,227.0,False,,
110.0,12,137.0,3.341463414634146,6.384589514478303,12,210.0,0.31554144134919476,12,210.0,False,,
115.0,3,60.0,1.5789473684210527,6.715540893463953,3,181.0,0.37309608028185254,3,181.0,False,,
120.0,10,95.0,2.638888888888889,5.767597381579935,10,177.0,0.2783813136107456,10,177.0,False,,
125.0,13,118.0,3.189189189189189,4.4150756229281,13,204.0,0.18046826822444853,13,204.0,False,,
130.0,10,133.0,3.5945945945945947,5.901583672963412,10,194.0,0.23275766138646617,10,194.0,False,,
135.0,9,70.0,1.9444444444444444,5.6599835929412174,9,141.0,0.25937693944505674,9,141.0,False,,
140.0,15,132.0,4.125,3.610027746108031,15,203.0,0.19170558390159773,15,203.0,False,,
145.0,16,167.0,4.513513513513513,3.5157334336441055,16,243.0,0.20897625211646412,16,243.0,False,,
150.0,13,193.0,4.7073170731707314,6.211869796367506,13,261.0,0.378715573299068,13,261.0,False,,
155.0,5,95.0,2.317073170731707,5.8182997135926815,5,216.0,0.2804944810403781,5,216.0,False,,
160.0,14,146.0,3.395348837209302,5.789876480968586,14,208.0,0.22858499848946612,14,208.0,False,,
165.0,16,93.0,2.3846153846153846,4.016013547905579,16,227.0,0.07613820573891003,16,227.0,False,,
170.0,21,180.0,4.5,5.187842972157412,21,250.0,0.199574123691107,21,250.0,False,,
175.0,21,191.0,5.162162162162162,3.6027990357257007,21,308.0,0.09203224909059966,21,308.0,False,,
180.0,13,143.0,3.763157894736842,4.492983472968655,13,301.0,0.1380842626735726,13,301.0,False,,
